key,code,startTime,endTime,location,instructor,contactEmail,furtherInformationLink,draftMode,key:TrainingModule
trainingSession-01,TS-ABC-123,2020/03/12 10:00,2020/03/20 10:00,Location A,John Doe,john@example.com,https://example.com/trainingA,false,trainingModule-01
trainingSession-02,TS-AAA-000,2023/04/10 11:11,2023/04/17 11:12,Location B,Jane Smith,jane@example.com,https://example.com/trainingB,false,trainingModule-03
trainingSession-03,TS-FAS-789,2022/05/05 10:45,2022/05/12 10:46,Location C,Ramón González,ramon@example.com,https://example.com/trainingC,false,trainingModule-02
trainingSession-04,TS-FGS-250,2023/06/05 22:22,2023/06/12 22:23,Location D,José Gómez,jose@example.com,https://example.com/trainingD,true,trainingModule-02
trainingSession-05,TS-DHS-111,2021/12/20 10:00,2021/12/28 10:01,unalocalizacionaproximadade75caracteresahoravamosaprobarquefuncioneestacade,eé eé eñe eñe,michael@example.com,https://a.es/,true,trainingModule-05
trainingSession-06,TS-JFD-735,2021/01/01 00:01,2021/08/12 13:00,a,a,michael@example.com,https://example.com/trainingC,true,trainingModule-03
trainingSession-07,TS-ASD-547,2021/05/05 22:22,2021/05/12 22:23,بأصوات ا,Ahmed Johnson,ahmex@e.com,https://example.com/trainingC,false,trainingModule-04
trainingSession-08,TS-FDH-233,2024/11/11 10:00,2024/11/18 10:01,₴оёpvf$a,Nombre raro,sasafasf@asfasfasfsaf.com,https://hola.net/,false,trainingModule-02
trainingSession-09,TS-AAS-893,2023/01/01 23:59,2023/01/09 23:59,ççççççç,Tomas Antonio,tomassss@example.com,null,false,trainingModule-07
trainingSession-10,TS-DJG-162,2022/12/04 00:00,2022/12/12 00:00,ñññññññññññññññññññ,Michael Johnson,michael@example.com,null,true,trainingModule-07
trainingSession-11,TS-ZZZ-999,2011/06/30 00:00,2011/11/12 10:00,色到艾丝伊艾勒艾勒到艾丝,艾勒n,a@a.com,null,false,trainingModule-09
trainingSession-12,TS-FAA-000,2023/07/29 23:59,2023/12/12 04:33,unlocalinaproximadade75caracteresahoravamosaprobarquefuncioneestacadenadetx,unnombrenaproximadade75caracteresahoravamosaprobarquefuncioneestacadenadetx,golasssssssssssaaaaaaaaaaaaaasssssssssssssw33333333333@gmail.com,http://unaURLnaproximadade255cas@amosaprobarquefuncioneestacadenadetasfasfasfasgsagasgasgasgagssaggasgasgagasgagsasgagasgggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggaxww.com,true,trainingModule-02
trainingSession-13,TS-GSA-200,2016/05/05 10:24,2016/05/12 10:25,Calle Peña de la Calle 24,Andrés,andres@andres.com,https://example.com/trainingsafgasfsagasgasag,false,trainingModule-08
trainingSession-14,TS-EGC-463,2002/03/12 10:00,2002/04/20 10:00,Avenida Reina Mercedes,Mercedes Miro,mercedes@miro.com,https://mercedes.com/miro,true,trainingModule-11
trainingSession-15,TS-DSG-233,2005/05/05 10:00,2005/05/20 10:00,Calle Ho Min,Cristobal Colón,cris@col.com,https://cris.com/,false,trainingModule-12
trainingSession-16,TS-GAS-253,2017/05/05 10:00,2017/05/20 10:00,Calle Alfonso XII,Alfonso Pérez,pe@al.com,https://alfonso.com/,false,trainingModule-13
trainingSession-17,TS-ALO-001,2000/01/08 20:01,2000/01/15 20:02,a,Carme Chacón,cc@c.com,http://urldeejemplo.es,false,trainingModule-17
trainingSession-18,TS-ALO-002,2022/01/08 11:11,2023/02/02 02:02,Lorem ipsum dolor sit ametE consectetur adipiscing elite sed do eiusmod tee,Andrés Pérez,ape@ape.com,http://urldeejemplo.com,true,trainingModule-17
trainingSession-19,TS-ALO-003,2004/01/08 11:11,2023/02/02 02:02,Lorem ipsum dolor sit ametE consectetur adipiscing elite sed do eiusmod te,Josefa,jose@fa.com,http://urldeejemplo.es/2,true,trainingModule-20
trainingSession-20,TS-ALO-004,2004/01/08 11:11,2023/02/02 02:02,국민경제의 발전을,adfa,adfa@a.com,http://urldeejemplo.es/3,true,trainingModule-17
trainingSession-21,TS-ALO-005,2004/01/08 11:11,2023/02/02 02:02,localización del instructor,a,emai@a.com,http://urldeejemplo.es/3,false,trainingModule-17
trainingSession-22,TS-ALO-006,2004/01/08 11:11,2023/02/02 02:02,localización del instructor 2,Lorem ipsum dolor sit amete consectetur adipiscing elite sed do eiusmod tem,loren@a.com,http://urldeejemplo.es/3,false,trainingModule-17
trainingSession-23,TS-ALO-007,2006/01/08 11:11,2023/02/02 02:02,localización del instructor 3,Lorem ipsum dolor sit amete consectetur adipiscing elite sed do eiusmod te,loren@a.com,http://urldeejemplo.es/3,false,trainingModule-17
trainingSession-24,TS-ALO-008,2008/01/08 11:11,2023/02/02 02:02,localización del instructor 4,국민경제의 발전을,loren@a.com,http://urldeejemplo.es/3,false,trainingModule-17
trainingSession-25,TS-ALO-009,2022/01/08 11:11,2023/02/02 02:02,localización,Mario,m@a.com,ftp://,false,trainingModule-17
trainingSession-26,TS-ALO-010,2011/01/08 11:11,2023/02/02 02:02,localización,Cris,c@a.com,http://www.lorem-ipsum.org/dolor/sit/amete/consectetur/adipiscing/elite/sed/do/eiusmod/tempor/incididunt/ut/labore/et/dolore/magna/aliqua/Ut/enim/ad/minim/veniam/quis/nostrud/exercitation/ullamco/laboris/nisi/ut/aliquip/ex/ea/commodo/consequat/duis/aute/,false,trainingModule-17
